出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,預測最低價格_rf,預測最低價格_svr,預測最低價格_xgb,效能_rf,效能_svr,效能_xgb
2025-01-20,星期一,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 909,商務艙,2,13779,13172,13360.0,632632.26,14034.5,75,89,9.53,9.49,13.36,9.5,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午10:45,上午班機,TPE,下午1:00,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,135,No,1,Boeing 777,1,CX 489,經濟艙,2,4475,4353,4511.0,3691.94,4466.5,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午9:50,上午班機,TPE,中午12:05,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,135,No,1,Airbus A321neo,0,CX 499,經濟艙,2,4475,4353,4511.0,3691.94,4486.75,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午10:45,上午班機,TPE,下午1:00,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,135,No,1,Boeing 777,1,CX 489,商務艙,2,14280,14267,14280.0,39.5,14283.75,75,90,9.57,9.57,3.7,9.57,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321neo,0,CX 469,商務艙,2,14762,14267,14280.0,3694176.68,14279.75,75,90,9.6,9.57,15.12,9.57,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午9:50,上午班機,TPE,中午12:05,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,135,No,1,Airbus A321neo,0,CX 499,商務艙,2,14280,14267,14280.0,39.5,14282.5,75,90,9.57,9.57,3.7,9.57,4.33,香港,0.6313249,-0.229905,11,14346.338043280159,15644.44219396482,14383.106,-0.004469668705069748,-0.09535740899456117,-0.007044036079992998
2025-01-20,星期一,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321,0,BR 867,經濟艙,2,3948,3700,3967.0,34230.0,4054.25,75,91,8.28,8.22,10.44,8.29,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321,0,BR 867,商務艙,2,15471,13288,14875.0,3534867.5,14479.25,74,87,9.65,9.49,15.08,9.61,4.32,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午11:55,上午班機,TPE,下午1:55,下午抵達,HKG,香港航空,6,直達航班。,Non-stop,2 小時,120,No,1,Airbus A330,1,HX 253,經濟艙,2,3279,2771,3031.0,5223203.57,3403.0,44,91,8.1,7.93,15.47,8.02,3.81,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,下午4:55,下午班機,TPE,晚上7:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 919,經濟艙,2,3792,3577,3842.0,23161.45,3790.5,75,91,8.24,8.18,10.05,8.25,4.33,香港,0.6313249,-0.229905,21,3787.887051318346,3470.326927982896,3748.4631,0.0006893414276886851,0.08446723968265506,0.011090058101668646
2025-01-20,星期一,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 915,商務艙,2,13724,13172,13360.0,382251.37,14081.25,75,90,9.53,9.49,12.85,9.5,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午4:55,下午班機,TPE,晚上7:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 919,商務艙,2,13740,13172,13360.0,447351.1,13414.75,75,90,9.53,9.49,13.01,9.5,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午1:20,下午班機,TPE,下午3:25,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 495,經濟艙,2,4650,4396,4519.0,127951.9,4516.5,19,91,8.44,8.39,11.76,8.42,3.0,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午3:50,下午班機,TPE,下午5:55,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 443,經濟艙,2,4475,4353,4511.0,3691.94,4478.75,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午5:00,下午班機,TPE,晚上7:05,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CX 421,經濟艙,2,5209,4353,4517.0,2460716.12,4489.0,44,91,8.56,8.38,14.72,8.42,3.81,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,中午12:25,下午班機,TPE,下午2:30,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 461,經濟艙,2,4635,4353,4511.0,821282.1,4489.0,44,91,8.44,8.38,13.62,8.41,3.81,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午1:20,下午班機,TPE,下午3:25,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 495,商務艙,2,15303,14267,14280.0,4525154.65,16211.0,75,76,9.64,9.57,15.33,9.57,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午3:50,下午班機,TPE,下午5:55,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 443,商務艙,2,14279,14267,14280.0,38.57,14279.5,75,88,9.57,9.57,3.68,9.57,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午5:00,下午班機,TPE,晚上7:05,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CX 421,商務艙,2,14296,14267,14280.0,24671.43,14278.5,75,90,9.57,9.57,10.11,9.57,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,中午12:25,下午班機,TPE,下午2:30,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A330,1,CX 461,商務艙,2,14280,14267,14280.0,39.5,14278.75,75,90,9.57,9.57,3.7,9.57,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午4:30,下午班機,TPE,下午6:30,晚間抵達,HKG,星宇航空,5,直達航班。,Non-stop,2 小時,120,No,1,Airbus A330-900neo,1,JX 235,商務艙,2,13214,11770,13481.0,1298712.82,12200.5,75,90,9.49,9.37,14.08,9.51,4.33,香港,0.6313249,-0.229905,21,11847.829911953348,12768.76169744559,11617.863,0.028906199585808152,-0.04657691876936113,0.047755150915946065
2025-01-20,星期一,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321,0,BR 855,經濟艙,2,3948,3700,3967.0,34230.0,3955.0,75,91,8.28,8.22,10.44,8.29,4.33,香港,0.6313249,-0.229905,21,1734.5067071918436,2013.588309628291,1530.0803,0.5614395177770306,0.4908752693733778,0.6131276049897282
2025-01-20,星期一,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,2,3970,3700,3967.0,57612.8,3996.25,75,91,8.29,8.22,10.96,8.29,4.33,香港,0.6313249,-0.229905,21,2081.3537649600944,2045.6238460332052,1525.813,0.47917328371345774,0.4881141455031079,0.6181888049343134
2025-01-20,星期一,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321,0,BR 855,商務艙,2,14437,13287,14872.0,507346.52,14478.75,75,90,9.58,9.49,13.14,9.61,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午4:35,下午班機,TPE,下午6:30,晚間抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 871,商務艙,2,14437,13287,14872.0,507346.52,14882.5,75,90,9.58,9.49,13.14,9.61,4.33,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,商務艙,2,14454,13287,14872.0,547649.91,14476.25,75,90,9.58,9.49,13.21,9.61,4.33,香港,0.6313249,-0.229905,21,13226.795326641133,13999.850932696183,13099.752,0.0863106587243842,0.03290901077998908,0.09508664515154132
2025-01-20,星期一,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,2 小時,120,No,1,Airbus A320neo,0,UO 111,經濟艙,2,1879,1340,1678.0,377249.69,2180.75,61,85,7.54,7.2,12.84,7.43,4.13,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午2:50,下午班機,TPE,下午4:55,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321,0,UO 113,經濟艙,2,1869,1340,1678.0,378577.4,1809.75,61,86,7.53,7.2,12.84,7.43,4.13,香港,0.6313249,-0.229905,21,1899.0328324512884,1989.0383125431874,955.6598,-0.049334345877214206,-0.0990679997475825,0.47193822901557536
2025-01-20,星期一,下午5:40,下午班機,TPE,晚上7:35,晚間抵達,HKG,香港快運航空,6,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 115,經濟艙,2,2193,1420,2178.0,352680.4,1881.25,61,87,7.69,7.26,12.77,7.69,4.13,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,下午3:45,下午班機,TPE,下午6:05,晚間抵達,HKG,香港航空,6,直達航班。,Non-stop,2 小時 20 分鐘,140,No,1,Airbus A320,0,HX 255,經濟艙,2,2933,2572,2836.0,302115.38,2789.75,44,90,7.98,7.85,12.62,7.95,3.81,香港,0.6313249,-0.229905,21,,,,,,
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321neo,0,CI 903,經濟艙,2,3821,3577,3843.0,36880.75,3883.0,75,91,8.25,8.18,10.52,8.25,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,清晨7:15,早晨班機,TPE,上午9:15,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 601,經濟艙,2,3821,3577,3843.0,36880.75,3912.25,75,91,8.25,8.18,10.52,8.25,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321neo,0,CI 903,商務艙,2,13724,13172,13360.0,382251.37,13986.5,75,90,9.53,9.49,12.85,9.5,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,清晨7:15,早晨班機,TPE,上午9:15,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 601,商務艙,2,13724,13172,13360.0,382251.37,13268.25,75,90,9.53,9.49,12.85,9.5,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午8:20,早晨班機,TPE,上午10:30,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,130,No,1,Boeing 777,1,CX 407,經濟艙,2,4475,4353,4511.0,3691.94,4440.25,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午8:20,早晨班機,TPE,上午10:30,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,130,No,1,Boeing 777,1,CX 407,商務艙,2,14280,14267,14280.0,39.5,14280.75,75,90,9.57,9.57,3.7,9.57,4.33,香港,0.6313249,-0.229905,11,14294.06935780232,15002.415037012306,14063.233,-0.0009326791521677892,-0.05053411319519676,0.015231455040001401
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:10,上午抵達,HKG,星宇航空,5,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,JX 233,商務艙,2,13887,11770,13483.0,3045482.76,13767.25,75,90,9.54,9.37,14.93,9.51,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A330,1,BR 851,經濟艙,2,3948,3700,3967.0,34230.0,4105.0,75,91,8.28,8.22,10.44,8.29,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,清晨7:00,早晨班機,TPE,上午9:00,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Boeing 787-10,1,BR 891,經濟艙,2,3948,3700,3967.0,34230.0,4067.75,75,91,8.28,8.22,10.44,8.29,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A330,1,BR 851,商務艙,2,15702,13287,14874.0,6351492.67,16508.0,75,90,9.66,9.49,15.66,9.61,4.33,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,清晨7:00,早晨班機,TPE,上午9:00,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Boeing 787-10,1,BR 891,商務艙,2,15792,13287,14875.0,6644546.06,16510.25,75,90,9.67,9.49,15.71,9.61,4.33,香港,0.6313249,-0.229905,11,13274.497602394958,14271.30024166096,13188.262,0.19598445799458164,0.13560968236937904,0.20120763048712165
2025-01-20,星期一,晚上9:20,晚間班機,TPE,晚上11:20,晚間抵達,HKG,Greater Bay Airlines,6,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,HB 705,經濟艙,2,2400,2021,2290.0,132009.0,2243.5,26,91,7.78,7.61,11.79,7.74,3.3,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321neo,0,CI 923,經濟艙,2,3861,3577,3847.0,75639.34,4125.75,75,91,8.26,8.18,11.23,8.26,4.33,香港,0.6313249,-0.229905,22,3605.8939715884476,3729.899276608005,3606.9902,0.12600279425838998,0.0959463669374041,0.12573708189420105
2025-01-20,星期一,晚上10:30,晚間班機,TPE,"凌晨12:20 (星期二, 1月 21)",凌晨抵達,HKG,中華航空,2,直達航班。,Non-stop,1 小時 50 分鐘,110,No,1,Airbus A321neo,0,CI 607,經濟艙,2,3821,3577,3843.0,36880.75,3955.5,75,91,8.25,8.18,10.52,8.25,4.33,香港,0.6313249,-0.229905,22,3829.64861805724,3604.791961435949,3545.3403,0.03181680746878015,0.08866338985312883,0.10369350726046012
2025-01-20,星期一,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321neo,0,CI 923,商務艙,2,13724,13172,13360.0,382251.37,14270.0,75,90,9.53,9.49,12.85,9.5,4.33,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,晚上10:30,晚間班機,TPE,"凌晨12:20 (星期二, 1月 21)",凌晨抵達,HKG,中華航空,2,直達航班。,Non-stop,1 小時 50 分鐘,110,No,1,Airbus A321neo,0,CI 607,商務艙,2,13724,13172,13360.0,382251.37,13270.75,75,90,9.53,9.49,12.85,9.5,4.33,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,下午6:35,晚間班機,TPE,晚上8:40,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CX 473,經濟艙,2,5106,4353,4528.0,1832894.56,5024.0,44,90,8.54,8.38,14.42,8.42,3.81,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,晚上7:30,晚間班機,TPE,晚上9:35,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Boeing 777,1,CX 565,經濟艙,2,4475,4353,4511.0,3691.94,4409.75,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,22,4979.262924200527,4867.176585812503,4930.011,-0.12914857400091317,-0.10373072981745059,-0.1179797563283066
2025-01-20,星期一,晚上7:40,晚間班機,TPE,晚上9:45,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Boeing 777,1,CX 451,經濟艙,2,4475,4353,4511.0,3691.94,4448.5,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,晚上8:15,晚間班機,TPE,晚上10:20,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A350,1,CX 531,經濟艙,2,5750,4396,5572.0,983305.4,5564.5,19,91,8.66,8.39,13.8,8.63,3.0,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,晚上9:15,晚間班機,TPE,晚上11:25,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,130,No,1,Boeing 777,1,CX 479,經濟艙,2,4475,4353,4511.0,3691.94,4427.5,44,91,8.41,8.38,8.21,8.41,3.81,香港,0.6313249,-0.229905,22,,,,,,
2025-01-20,星期一,下午6:35,晚間班機,TPE,晚上8:40,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CX 473,商務艙,2,14345,14267,14279.0,98660.34,14280.0,75,65,9.57,9.57,11.5,9.57,4.33,香港,0.6313249,-0.229905,22,,,,,,
